president_id	name	party	years_in_office	starting_year	last_year   image
1	Kaarle Juho Stöhlberg	Edistyspuolue	6	1919	1925    "images/stahlberg.png"
2	Lauri Kristian Relander	Maalaisliitto	6	1925	1931    "images/Relander.png"
3	Pehr Evind Svinhufvud	Kansallinen Kokoomus	6	1931	1937    "images/Svinhufvud.png"
4	Kyösti Kallio	Maalaisliitto	3	1937	1940    "images/Kallio.png"
5	Risto Heikki Ryti	Edistyspuolue	4	1940	1944    ""images/Ryti.png"
6	Carl Gustaf Emil Mannerheim	NULL	2	1944	1946    "images/Mannerheim.png"
7	Juho Kusti Paasikivi	Kansallinen Kokoomus	10	1946	1956    "images/Paasikivi.png"
8	Urho Kaleva Kekkonen	Maalaisliitto	26	1956	1982    "images/Kekkonen.png"
9	Mauno Henrik Koivisto	SDP	12	1982	1994    "images/Koivisto.png"
10	Martti Oiva Kalevi Ahtisaari	SDP	6	1994	2000    "images/Ahtisaari.png"
11	Tarja Kaarina Halonen	SDP	12	2000	2012    "images/Halonen.png"